(Input Var1)Condenser_Specification_Value,(Input Var2)Temperature (K),(Output Var1)Distillate - Molar Fraction (Liquid 1) / Benzene (),(Output Var2)QC - Energy Flow (kW),(Output Var3)QR - Energy Flow (kW),(Output Var4)Bottoms - Molar Fraction (Liquid 1) / Benzene (),(Input Var3)Feed - Molar Fraction (Vapor) (),(Input Var4)Stage_Temperature_1 (K),(Input Var5) Stage_Temperature_20 (K)
2.58621,361.31,1,591.774,642.34,0.0133047,0,353.317,361.829
2.58621,364.828,1,591.774,635.65,0.0133093,0,353.317,361.918
2.58621,368.345,1,591.774,628.905,0.0133201,0,353.317,362.01
2.58621,371.862,1,591.774,622.114,0.0132478,0,353.317,362.104
2.58621,375.379,1,591.774,555.583,0.0132375,0.174676,353.317,363.146
2.58621,378.897,1,591.774,496.553,0.0132901,0.324689,353.317,364.299
2.58621,382.414,1,591.774,440.315,0.0132829,0.463553,353.317,365.674
2.58621,385.931,1,591.774,440.315,0.0132829,0.604735,353.317,365.674
2.58621,389.448,1,591.774,440.315,0.0132829,0.762021,353.317,365.674
2.58621,392.966,1,591.774,440.315,0.0132829,0.954088,353.317,365.674
2.58621,396.483,1,591.774,440.315,0.0132829,1,353.317,365.674
2.58621,400,1,591.774,440.315,0.0132829,1,353.317,365.674
2.74138,298,1,617.38,779.304,0.0132143,0,353.317,360.337
2.74138,301.517,1,617.38,773.567,0.0131309,0,353.317,360.389
2.74138,305.034,1,617.38,767.769,0.0131279,0,353.317,360.442
2.74138,308.552,1,617.38,761.922,0.0131248,0,353.317,360.497
2.74138,312.069,1,617.38,756.022,0.0131227,0,353.317,360.553
2.74138,315.586,1,617.38,750.073,0.0131185,0,353.317,360.61
2.74138,319.103,1,617.38,744.072,0.013115,0,353.317,360.669
2.74138,322.621,1,617.38,738.02,0.0131109,0,353.317,360.729
2.74138,326.138,1,617.38,731.915,0.0131063,0,353.317,360.791
2.74138,329.655,1,617.38,725.759,0.0131022,0,353.317,360.854
2.74138,333.172,1,617.38,719.551,0.0130951,0,353.317,360.919
2.74138,336.69,1,617.38,713.29,0.0130884,0,353.317,360.986
2.74138,340.207,1,617.38,706.977,0.0130836,0,353.317,361.054
2.74138,343.724,1,617.38,700.611,0.0130723,0,353.317,361.124
2.74138,347.241,1,617.38,694.192,0.0130675,0,353.317,361.196
2.74138,350.759,1,617.38,687.72,0.0130578,0,353.317,361.269
2.74138,354.276,1,617.38,681.186,0.013124,0,353.317,361.346
2.74138,357.793,1,617.38,674.604,0.0131266,0,353.317,361.424
2.74138,361.31,1,617.38,667.969,0.0131287,0,353.317,361.505
2.74138,364.828,1,617.38,661.279,0.0131312,0,353.317,361.588
2.74138,368.345,1,617.38,654.535,0.0131353,0,353.317,361.672
2.74138,371.862,1,617.38,647.735,0.0131373,0,353.317,361.76
2.74138,375.379,1,617.38,581.194,0.0131967,0.174676,353.317,362.715
2.74138,378.897,1,617.38,522.159,0.013296,0.324689,353.317,363.768
